accountsservice
acl
acpi
acpi-support
acpid
adduser
adwaita-icon-theme
aglfn
alsa-base
alsa-lib
alsa-utils
anacron
apache-pom
apt
apt-listchanges
aptdaemon
aptitude
aspell
at
at-spi2-core
atk1.0
audit
autoconf
automake-1.14
automake-1.15
autotools-dev
avahi
base-files
base-passwd
bash
bash-completion
bc
beautifulsoup4
bind9
binfmt-support
binutils
bison
blas
blcr
blt
borgbackup
brasero
bridge-utils
bsd-finger
bsd-mailx
bsdmainutils
bsh
btrfs-progs
btrfs-tools
build-essential
busybox
bzip2
c2050
c2esp
ca-certificates
ca-certificates-java
cadaver
cairomm
cdrkit
chardet
checksecurity
chkrootkit
cjet
cmake
colord
colorgcc
commons-beanutils
commons-parent
confuse
console-common
console-data
console-setup
consolekit
coreutils
cowdancer
cpio
cpufrequtils
cron
cron-apt
cryptsetup
csh
cups
cups-filters
cups-pdf
curl
d-conf
dash
dasher
davfs2
dbus
dbus-python
dctrl-tools
debconf
debhelper
debian-archive-keyring
debian-faq
debian-keyring
debianutils
debootstrap
debsecan
desktop-base
desktop-file-utils
devhelp
devscripts
dh-autoreconf
dh-python
dictionaries-common
diffstat
diffutils
ding
dirdiff
dirmngr
discover
discover-data
distro-info
distro-info-data
djvulibre
dkms
dmidecode
dns-root-data
dnsmasq
doc-debian
docbook-xml
dos2unix
dosfstools
dpkg
dput
e2fsprogs
eject
ekiga
emacsen-common
enchant
enum34
epson-inkjet-printer-escpr
equivs
ethtool
evince
exfat-utils
exiv2
exo
explorercanvas
exuberant-ctags
fakeroot
fam
feh
fig2dev
file
findutils
firefox-esr
firmware-free
firmware-nonfree
flex
fluxbox
fontconfig
fonts-android
fonts-dejavu
fonts-liberation
fonts-noto
fonts-vlgothic
foo2zjs
foomatic-db
foomatic-db-engine
foomatic-filters
fortune-mod
fpconst
fuse
fuse-exfat
fxload
gamin
garcon
gatling
gawk
gcc-4.9
gcc-6
gcc-7
gcc-defaults
gconf
gcr
gdb
gdebi
gdisk
gdk-pixbuf
gdm3
geoclue
geoip-database
gettext
ghostscript
gimp
git
git-buildpackage
git-cola
gksu
glade
glib-networking
glib2.0
glibc
gnash
gnome-desktop
gnome-desktop3
gnome-icon-theme
gnome-keyring
gnome-menus2
gnome-mime-data
gnome-packagekit
gnome-panel
gnome-sharp2
gnome-themes
gnome-themes-extras
gnome-themes-standard
gnome-vfs
gnupg
gnupg2
gnuplot
gpgme1.0
graphviz
grep
groff
grub2
gsettings-desktop-schemas
gsfonts
gsfonts-x11
gsl
gtk+2.0
gtk+3.0
gtk-sharp2
gtk2-engines-xfce
gtkglext
gtkhtml3.14
gtkimageview
gtksourceview2
gtkspell
guile-1.8
gutenprint
gvfs
gzip
hdparm
hicolor-icon-theme
hkgerman
hostname
hp-ppd
hplip
hsqldb
html2text
html5lib
i3lock
iceweasel
icu4j
ifupdown
igerman98
imagemagick
init-system-helpers
initramfs-tools
inkscape
insserv
installation-report
intel2gas
intltool-debian
io-stringy
iproute2
iptables
iputils
irqbalance
isc-dhcp
iso-codes
ispell
iwidgets4
java-common
javascript-common
jemalloc
jline
john
jquery
json-glib
jtidy
jxrlib
kbd
kerneloops
klibc
kmod
krb5
lapack
laptop-detect
lcms2
ldb
lensfun
less
libalgorithm-diff-perl
libalgorithm-diff-xs-perl
libalgorithm-merge-perl
libapt-pkg-perl
libarchive-zip-perl
libauthen-sasl-perl
libb-hooks-endofscope-perl
libbonobo
libbonoboui
libbytes-random-secure-perl
libcairo-perl
libcap2
libcgi-fast-perl
libcgi-pm-perl
libclass-accessor-perl
libclass-inspector-perl
libclass-isa-perl
libclass-method-modifiers-perl
libclass-xsaccessor-perl
libclone-perl
libcommons-collections3-java
libcommons-compress-java
libcommons-digester-java
libcommons-logging-java
libconvert-binhex-perl
libcrypt-random-seed-perl
libcrypt-ssleay-perl
libdata-optlist-perl
libdb-je-java
libdevel-globaldestruction-perl
libdigest-hmac-perl
libeatmydata
libemail-valid-perl
libencode-locale-perl
liberror-perl
libestr
libev
libexporter-tiny-perl
libfcgi-perl
libfile-basedir-perl
libfile-chdir-perl
libfile-copy-recursive-perl
libfile-homedir-perl
libfile-listing-perl
libfile-which-perl
libfont-afm-perl
libfont-freetype-perl
libgetopt-long-descriptive-perl
libgit-wrapper-perl
libgksu
libglib-perl
libgnome
libgnome-keyring
libgnomecanvas
libgnomeui
libgphoto2
libgtk2-perl
libgtop2
libhtml-form-perl
libhtml-format-perl
libhtml-parser-perl
libhtml-tagset-perl
libhtml-template-perl
libhtml-tree-perl
libhttp-cookies-perl
libhttp-daemon-perl
libhttp-date-perl
libhttp-message-perl
libhttp-negotiate-perl
libimport-into-perl
libinput
libio-html-perl
libio-pty-perl
libio-sessiondata-perl
libio-socket-inet6-perl
libio-socket-ip-perl
libio-socket-ssl-perl
libio-string-perl
libipc-run-perl
libipc-signal-perl
libipc-system-simple-perl
libiptcdata
libjaxp1.3-java
libjpeg-turbo
liblinear
liblist-compare-perl
liblist-moreutils-perl
liblocale-gettext-perl
liblockfile
liblouis
liblouisutdml
liblwp-mediatypes-perl
liblwp-protocol-https-perl
libmail-sendmail-perl
libmailtools-perl
libmath-random-isaac-perl
libmath-random-isaac-xs-perl
libmime-tools-perl
libmime-types-perl
libmodule-implementation-perl
libmodule-runtime-perl
libmoo-perl
libmusicbrainz3
libnamespace-clean-perl
libnet
libnet-dbus-perl
libnet-dns-perl
libnet-domain-tld-perl
libnet-http-perl
libnet-ip-perl
libnet-smtp-ssl-perl
libnet-ssleay-perl
libnotify
libnumber-compare-perl
libnumber-range-perl
liboil
libowfat
libpackage-stash-perl
libpackage-stash-xs-perl
libpango-perl
libpaper
libparams-classify-perl
libparams-util-perl
libparams-validate-perl
libparse-debianchangelog-perl
libpath-iterator-rule-perl
libpath-tiny-perl
libperlio-gzip-perl
libpod-constants-perl
libproc-waitstat-perl
libregexp-java
libreoffice
libreoffice-dictionaries
librole-tiny-perl
libscalar-list-utils-perl
libsecret
libsemanage
libsidplay
libsoap-lite-perl
libsocket-perl
libsocket6-perl
libsort-key-perl
libsort-versions-perl
libstrictures-perl
libstring-copyright-perl
libstring-escape-perl
libsub-exporter-perl
libsub-exporter-progressive-perl
libsub-identify-perl
libsub-install-perl
libsub-name-perl
libsvm
libswitch-perl
libsys-hostname-long-perl
libtask-weaken-perl
libterm-readkey-perl
libterm-readline-perl-perl
libtext-charwidth-perl
libtext-glob-perl
libtext-iconv-perl
libtext-levenshtein-perl
libtext-template-perl
libtext-unidecode-perl
libtext-wrapi18n-perl
libthai
libtie-ixhash-perl
libtimedate-perl
libtool
libtry-tiny-perl
libunicode-utf8-perl
liburi-perl
libusb
libusb-1.0
libvariable-magic-perl
libwacom
libwmf
libwnck
libwww-perl
libwww-robotrules-perl
libx11
libxalan2-java
libxerces2-java
libxfce4ui
libxfce4util
libxml-commons-resolver1.1-java
libxml-libxml-perl
libxml-namespacesupport-perl
libxml-parser-perl
libxml-rss-simplegen-perl
libxml-sax-base-perl
libxml-sax-expat-perl
libxml-sax-perl
libxml-simple-perl
libxml-twig-perl
libxml-xpathengine-perl
libxml2
libxmlrpc-lite-perl
libyaml-libyaml-perl
libyaml-perl
licensecheck
liferea
light-locker
lightdm
lightdm-gtk-greeter
links2
lintian
linux
linux-base
linux-latest
llvm-defaults
llvm-toolchain-3.8
lm-sensors
lockfile-progs
logcheck
logrotate
lrzsz
lsb
lshw
lsof
lucene2
lvm2
lxc
lxcfs
lxml
lynx
lynx-cur
lyx
lzma
m2300w
m4
make-dfsg
makedev
man-db
manpages
manpages-de
mawk
memtest86+
memtester
menu
menu-xdg
mercurial
mesa-demos
mime-construct
mime-support
min12xxw
minicom
mlocate
modernizr
motif
mozjs
mplayer
mscompress
msgpack-python
mtools
nano
nautilus
nbd
ncurses
nedit
net-tools
netbase
