a52dec
aalib
acl
acpi
acpi-support
acpid
adcli
adduser
adns
adwaita-icon-theme
alsa-base
alsa-lib
alsa-plugins
alsa-tools
alsa-utils
alsamixergui
anacron
ant
apache-pom
apache2
apparmor
apr
apr-util
apt
apt-file
apt-listchanges
apt-rdepends
apt-src
aptitude
arandr
armadillo
arpack
asm
asn1crypto
aspell
aspell-en
at
at-spi2-atk
at-spi2-core
atk1.0
atkmm1.6
attr
auctex
audiofile
audit
autogen
automat
avahi
babl
base-files
base-passwd
bash
bash-completion
bc
beautifulsoup
beautifulsoup4
biber
bind9
binfmt-support
binutils
blas
blt
bluez
boost1.55
boost1.62
brlaser
brltty
bsd-finger
bsd-mailx
bsdmainutils
bubblewrap
build-essential
busybox
bzip2
c-ares
ca-certificates
ca-certificates-java
cairo
cairomm
cdebconf
cdparanoia
cglib
cgmanager
chardet
charls
chromaprint
#chromium-browser
cifs-utils
clipit
cloog
clp
clucene-core
clutter-1.0
clutter-gtk
cogl
coinmp
coinor-cbc
coinor-cgl
coinor-osi
coinutils
colord
commons-beanutils
commons-httpclient
commons-parent
configparser
console-common
console-data
console-setup
constantly
coreutils
cpio
cracklib2
crda
cron
cross-binutils
cryptsetup
crystalhd
cups
cups-filters
cups-pdf
cups-pk-helper
curl
cwidget
cyrus-sasl2
d-conf
dash
db-defaults
db5.3
dbus
dbus-glib
dbus-python
dconf-editor
debconf
debian-archive-keyring
debian-faq
debian-keyring
debianutils
deluge
desktop-base
desktop-file-utils
device-tree-compiler
dh-python
dia
dia-shapes
dialog
dictionaries-common
diffutils
ding-libs
directfb
dirmngr
distro-info-data
djvulibre
dkms
dmidecode
dnspython
doc-debian
docbook-xml
docopt
dosfstools
dotconf
double-conversion
dpkg
e2fsprogs
easymock
eclipse
ed
eject
elfutils
emacs24
emacsen-common
enca
enchant
enum34
esound
espeak
ethtool
evince
evolution
evolution-data-server
evolution-ews
exim4
expat
faad2
fakeroot
farstream-0.2
fastjar
felix-bundlerepository
felix-gogo-command
felix-gogo-runtime
felix-gogo-shell
fetchmail
ffmpeg
fftw3
file
findutils
firebird2.5
firebird3.0
#firefox-esr
firmware-free
firmware-nonfree
flac
flask
flite
fltk1.1
fluidsynth
fontconfig
fonts-adf
fonts-android
fonts-arphic-gbsn00lp
fonts-arphic-gkai00mp
fonts-cabin
fonts-comfortaa
fonts-croscore
fonts-crosextra-caladea
fonts-crosextra-carlito
fonts-dejavu
fonts-ebgaramond
fonts-font-awesome
fonts-freefont
fonts-gfs-artemisia
fonts-gfs-baskerville
fonts-gfs-complutum
fonts-gfs-didot
fonts-gfs-neohellenic
fonts-gfs-olga
fonts-gfs-porson
fonts-gfs-solomos
fonts-junicode
fonts-lato
fonts-liberation
fonts-linuxlibertine
fonts-lobstertwo
fonts-noto
fonts-oflb-asana-math
fonts-roboto
fonts-sil-gentium
fonts-sil-gentium-basic
fonts-sil-gentiumplus
fonts-sil-gentiumplus-compact
fonts-stix
freetype
freexl
fribidi
fuse
fxload
fyba
galculator
game-music-emu
gawk
gcc-4.8
gcc-4.9
gcc-6
gcc-7
gcc-defaults
gconf
gcr
gdal
gdbm
gdcm
gdisk
gdk-pixbuf
gegl
geoclue-2.0
geocode-glib
geoip
geoip-database
geos
gettext
ghostscript
giblib
giflib
gimp
git
gksu
gl2ps
glew
glib-networking
glib2.0
glibc
glibmm2.4
gmime
gmp
gmtk
gnome-autoar
gnome-desktop3
gnome-disk-utility
gnome-icon-theme
gnome-icon-theme-symbolic
gnome-keyring
gnome-mime-data
gnome-mplayer
gnome-online-accounts
gnome-orca
gnome-screenshot
gnome-settings-daemon
gnome-system-tools
gnome-themes
gnome-themes-standard
gnome-vfs
gnupg
gnupg2
gnutls28
gobject-introspection
google-perftools
gparted
gpgme1.0
gpicview
gpm
graphite2
grep
grip
groff
grub2
gsettings-desktop-schemas
gsfonts
gsfonts-x11
gsl
gsoap
gssdp
gst-plugins-bad1.0
gst-plugins-base1.0
gst-plugins-good1.0
gstreamer-vaapi
gstreamer1.0
gtk+2.0
gtk+3.0
gtk2-engines
gtkmm2.4
gtkspell
gtkspell3
gucharmap
gupnp
gupnp-igd
gutenprint
gvfs
gzip
h5py
harfbuzz
hashdeep
hdf5
heimdal
hicolor-icon-theme
highlight.js
hostname
hplip
htop
http-parser
hunspell
hunspell-en-us
hwloc
hyperlink
hyphen
iceweasel
icu
icu4j-49
ifupdown
ijs
ilmbase
#imagemagick
imlib2
incremental
infinipath-psm
init-system-helpers
initramfs-tools
inkscape
insserv
intel-microcode
intel-vaapi-driver
iproute2
iptables
iputils
ipxe
